code,region,pop
11,서울특별시,9509458
11110,서울특별시 종로구,144683
11140,서울특별시 중구,122499
11170,서울특별시 용산구,222953
11200,서울특별시 성동구,285990
11215,서울특별시 광진구,339996
11230,서울특별시 동대문구,337400
11260,서울특별시 중랑구,387350
11290,서울특별시 성북구,430528
11305,서울특별시 강북구,299182
11320,서울특별시 도봉구,317366
11350,서울특별시 노원구,510956
11380,서울특별시 은평구,473307
11410,서울특별시 서대문구,304819
11440,서울특별시 마포구,368905
11470,서울특별시 양천구,447302
11500,서울특별시 강서구,574315
11530,서울특별시 구로구,396754
11545,서울특별시 금천구,230811
11560,서울특별시 영등포구,376837
11590,서울특별시 동작구,385483
11620,서울특별시 관악구,485699
11650,서울특별시 서초구,412279
11680,서울특별시 강남구,533042
11710,서울특별시 송파구,658338
11740,서울특별시 강동구,462664
26,부산광역시,3350380
26110,부산광역시 중구,40524
26140,부산광역시 서구,105164
26170,부산광역시 동구,87679
26200,부산광역시 영도구,110638
26230,부산광역시 부산진구,353159
26260,부산광역시 동래구,266866
26290,부산광역시 남구,262069
26320,부산광역시 북구,283211
26350,부산광역시 해운대구,396438
26380,부산광역시 사하구,306003
26410,부산광역시 금정구,228049
26440,부산광역시 강서구,142918
26470,부산광역시 연제구,207144
26500,부산광역시 수영구,175095
26530,부산광역시 사상구,208298
26710,부산광역시 기장군,177125
27,대구광역시,2385412
27110,대구광역시 중구,74791
27140,대구광역시 동구,341436
27170,대구광역시 서구,164528
27200,대구광역시 남구,143175
27230,대구광역시 북구,437008
27260,대구광역시 수성구,417097
27290,대구광역시 달서구,544926
27710,대구광역시 달성군,262451
28,인천광역시,2948375
28110,인천광역시 중구,143633
28140,인천광역시 동구,61486
28177,인천광역시 미추홀구,407464
28185,인천광역시 연수구,389644
28200,인천광역시 남동구,518272
28237,인천광역시 부평구,486765
28245,인천광역시 계양구,295696
28260,인천광역시 서구,555380
28710,인천광역시 강화군,69693
28720,인천광역시 옹진군,20342
29,광주광역시,1441611
29110,광주광역시 동구,103470
29140,광주광역시 서구,291231
29155,광주광역시 남구,215575
29170,광주광역시 북구,427114
29200,광주광역시 광산구,404221
30,대전광역시,1452251
30110,대전광역시 동구,222222
30140,대전광역시 중구,230341
30170,대전광역시 서구,473365
30200,대전광역시 유성구,351277
30230,대전광역시 대덕구,175046
31,울산광역시,1121592
31110,울산광역시 중구,212883
31140,울산광역시 남구,313819
31170,울산광역시 동구,154096
31200,울산광역시 북구,218735
31710,울산광역시 울주군,222059
36,세종특별자치시,371895
36110,세종특별자치시 세종시,371895
41,경기도,13565450
41110,경기도 수원시,1183714
41111,경기도 수원시 장안구,273835
41113,경기도 수원시 권선구,364136
41115,경기도 수원시 팔달구,182321
41117,경기도 수원시 영통구,363422
41130,경기도 성남시,930948
41131,경기도 성남시 수정구,235988
41133,경기도 성남시 중원구,210777
41135,경기도 성남시 분당구,484183
41150,경기도 의정부시,463661
41170,경기도 안양시,547178
41171,경기도 안양시 만안구,238311
41173,경기도 안양시 동안구,308867
41190,경기도 부천시,806067
41210,경기도 광명시,292893
41220,경기도 평택시,564288
41250,경기도 동두천시,93592
41270,경기도 안산시,652726
41271,경기도 안산시 상록구,350668
41273,경기도 안산시 단원구,302058
41280,경기도 고양시,1079353
41281,경기도 고양시 덕양구,482927
41285,경기도 고양시 일산동구,298873
41287,경기도 고양시 일산서구,297553
41290,경기도 과천시,73345
41310,경기도 구리시,191948
41360,경기도 남양주시,733798
41370,경기도 오산시,229983
41390,경기도 시흥시,512030
41410,경기도 군포시,268535
41430,경기도 의왕시,163356
41450,경기도 하남시,320087
41460,경기도 용인시,1077508
41461,경기도 용인시 처인구,260198
41463,경기도 용인시 기흥구,441742
41465,경기도 용인시 수지구,375568
41480,경기도 파주시,483245
41500,경기도 이천시,223177
41550,경기도 안성시,189534
41570,경기도 김포시,486508
